n1,n2,intensity,distance,R1+R2,projection_volume
63,693,1544.616577,1.438957956,0.8229897919490011,0.00930194956796875
210,470,1536.533936,1.567450159,0.6238979622629316,0.0025417126109375
390,1004,1515.109375,2.097617696,0.5838203742505345,5.36281189034462e-05
491,223,1510.331543,1.424254191,0.9142429485527548,0.037613187675
223,72,1508.447876,3.205074102,0.6965922312497632,0.020221343275
126,63,1500.177368,1.718167629,0.6266678806409194,0.014298620175
126,286,1492.186523,1.976512079,0.5625925926645781,0.00924299005
1,72,1487.0998539999996,2.215851981,0.5834100109262332,0.00138221125546875
223,88,1485.459595,1.451516448,0.9624039072125902,0.09752089515
347,286,1480.854376,6.116404172,0.5475823267832598,0.0180192992
525,523,1468.252319,2.788942452,0.9036631239263622,0.056129052875
797,88,1436.290405,2.315037797,1.308245380764844,0.051839514475
1,194,1426.95499,1.438923209,1.0864798023133797,0.0283957646
223,38,1423.129883,3.547675295,0.7646861897706742,0.0445185286
830,390,1420.656616,1.335702063,0.6713975540186756,0.006086203790625
614,470,1417.09729,1.151911455,0.8595196696078159,0.008847109403125
38,614,1409.419312,2.291593332,0.8557586787503308,0.048204709175000006
1004,63,1405.2248539999996,1.7671728830000002,0.6750677239624328,0.021317367925
223,364,1395.983154,1.656321225,0.7498551869251674,0.008544773125
226,525,1394.417725,2.932882541,0.9030610177097882,0.0376394186
210,72,1386.114136,2.159282288,0.5520430128845358,0.001307076071875
1004,272,1381.133423,3.556135543,0.712383502578334,0.0298892993
614,491,1376.689768,2.236269215,1.0053154375324116,0.0254552523203125
523,491,1376.031824,3.138678066,1.015766010059537,0.0270256791984375
63,72,1352.44043,3.4294897580000003,0.6025887514471138,0.00146311905537109
525,194,1347.652505,1.340373082,1.1840497447936675,0.1153939612
525,797,1344.550781,1.841982628,1.147981535971834,0.024927482125
797,515,1344.197998,2.77459907,1.2135507023542234,0.040359843475
797,523,1330.855835,2.903532331,1.265116875321858,0.0338609667375
1004,470,1326.4567869999996,2.004220547,0.7197660441304191,0.0027533808203125
88,470,1321.276978,1.744305019,0.9130987475779272,0.0097401009453125
525,126,1321.2561039999996,0.879659025,0.7050590826003269,0.0027882215046875
797,390,1319.429932,2.255504378,0.9783429843005282,0.0028458474187500003
194,286,1314.651367,1.489160838,1.0415832548579191,0.00286505683515625
