origin_abbrev,origin_id,target_abbrev,target_id,projection_volume
LHA,194,PVHd,63,0.02797468065
AHN,88,SCH,286,0.02795391445
LHA,194,RCH,173,0.02771264335
PH,946,VPMpc,741,0.0276853034650391
PH,946,VP,709,0.0276853034650391
PH,946,PR,1077,0.027593132349999997
MPO,523,PS,1109,0.02738941485
MPN,515,LSc,250,0.027336274350000002
SCH,286,root,997,0.027186694346875
DMH,830,VENT,637,0.027054961459668
DMH,830,DORsm,864,0.027054961459668
DMH,830,VM,685,0.02703408645
PMv,1004,TM,557,0.026929352625000003
STN,470,fiber tracts,1009,0.026605150249999997
VMH,693,PVi,118,0.0263581437
SCH,286,HY,1097,0.026270867196875
SCH,286,IB,1129,0.0262708662593471
SCH,286,BS,343,0.0262708662593471
SCH,286,grey,8,0.0262708662593471
TU,614,fiber tracts,1009,0.0262479427
AHN,88,PVi,118,0.026227102999999998
PH,946,ILM,51,0.0259326677994225
TMv,1,root,997,0.02576159075
LHA,194,SUM,525,0.0257452223
TU,614,PeF,576073704,0.0255640938
PVH,38,PVHd,63,0.0253416289
ADP,72,CH,567,0.0249492895391113
MPN,515,PVpo,133,0.024945708900000002
SBPV,347,AHN,88,0.0249362715
SUM,525,PH,946,0.0245831383765625
PH,946,MD,362,0.02445573585
ARH,223,DMH,830,0.024243573199999997
ADP,72,CNU,623,0.0241053193100098
ARH,223,LZ,290,0.0240349018
ARH,223,TU,614,0.0240349018
MPN,515,ACAv,48,0.0238050026144447
LHA,194,DMH,830,0.02378200545
LHA,194,PVR,141,0.02378200545
ARH,223,VMH,693,0.02364568745
ARH,223,MEZ,467,0.02364568745
VMH,693,mfbs,991,0.0236444729869141
LHA,194,mfbs,991,0.0235799442552734
PH,946,PF,930,0.0235427194625
MPN,515,ACAv5,772,0.023506275099999998
TU,614,PVp,126,0.0235051677
VMH,693,fxs,1099,0.0234744496
VMH,693,fx,436,0.0234744496
VMH,693,fxpo,737,0.0234744496
VMH,693,mfbc,768,0.0234744496
LHA,194,LM,210,0.0233279004
PSTN,364,nst,102,0.02324322595
PSTN,364,eps,1000,0.02324322595
PSTN,364,epsc,760,0.02324322595
PVH,38,MPN,515,0.02312889915
PH,946,RE,181,0.0231279542557007
PH,946,SMT,366,0.022947513399999998
PH,946,mfbsma,46,0.0227452393308842
MPO,523,VLPO,689,0.021944552000000003
AHN,88,MED,444,0.0217364683051895
AHN,88,PR,1077,0.02173603005
LM,210,grey,8,0.0215504741636894
LM,210,BS,343,0.0215504741636894
PMv,1004,TH,549,0.0215065312
MPO,523,PALm,826,0.02134191325
MPO,523,NDB,596,0.02134191325
MPO,523,MSC,904,0.02134191325
MM,491,mfb,54,0.0212314942
ADP,72,STR,477,0.0210061751074219
PH,946,CM,599,0.0209712307
ZI,797,VPM,733,0.02087821155
ZI,797,MG,475,0.0208082576833496
ZI,797,GENd,1008,0.0208082576833496
ZI,797,MGm,1088,0.02078194125
ZI,797,LP,218,0.0207013926
MPO,523,AVPV,272,0.0203555891875
LM,210,HY,1097,0.020151185075
LM,210,IB,1129,0.0201511844374839
LHA,194,CEAm,559,0.019965411375
LHA,194,CEA,536,0.019965411375
VMH,693,PR,1077,0.01987526975
LHA,194,SSp-ll6a,478,0.01968115625
AHN,88,PVpo,133,0.019644319275
DMH,830,PVi,118,0.0195646945046875
SUM,525,MBmot,323,0.0195228382740976
ZI,797,PP,1044,0.019234546975
SCH,286,PVR,141,0.0192047113945633
MPN,515,TRS,581,0.0190811782
TMv,1,grey,8,0.0189100538945801
TMv,1,BS,343,0.0189100538945801
MPN,515,DORpm,856,0.0188654488834982
MPN,515,MTN,571,0.0188632459967428
MPO,523,MS,564,0.0188270793019531
TMv,1,HY,1097,0.01872514665
TMv,1,IB,1129,0.0187251465949707
LHA,194,mfbc,768,0.018694451825
LHA,194,fxpo,737,0.018694451825
LHA,194,fx,436,0.018694451825
LHA,194,fxs,1099,0.018694451825
LHA,194,mfsbshy,824,0.0185832445927734
SO,390,root,997,0.018177885249999998
AHN,88,PVa,30,0.018074547925
SBPV,347,SCH,286,0.018019299199999998
LHA,194,MM,491,0.0179269062701645
AHN,88,PT,15,0.01792343315
MM,491,RN,214,0.017806428500000002
PVHd,63,PVZ,157,0.0177828983910583
MPN,515,fiber tracts,1009,0.017767511475
ADP,72,BS,343,0.0177310977422852
ADP,72,IB,1129,0.0177310977422852
ADP,72,HY,1097,0.0177310971728516
AHN,88,RT,262,0.017570110075
MM,491,pm,753,0.017555605172998003
MPO,523,MEPO,452,0.017456939675
SUM,525,MM,491,0.0174176903221695
ZI,797,VISpm5,565,0.017402031499999998
PVHd,63,PVH,38,0.017368024121875
PH,946,TM,557,0.0168259792856812
LHA,194,VMH,693,0.016714045775
MPN,515,AVP,263,0.0165501028
TU,614,AHN,88,0.0164258633
LHA,194,STN,470,0.0161561232
LHA,194,PMv,1004,0.016153167275
PMv,1004,DORsm,864,0.0160683234783203
PMv,1004,TMd,1126,0.015989458275
PVp,126,DMH,830,0.015925963309375003
PH,946,RSPd,879,0.0158634648046875
ZI,797,VISam,394,0.0157721464714844
LHA,194,MMl,606826647,0.0157333953
